HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5807.79,707616000.0,,,284.8291,296.87085,0.0
5808.79,707637600.0,,,285.36035,296.68335,0.0
5810.29,707659200.0,,,285.87598,296.4646,0.0
5810.79,707680800.0,,,287.62598,296.24585,0.0
5811.29,707702400.0,,,287.7666,296.05835,0.0
5812.29,707724000.0,,,288.48535,296.49585,0.0
5813.79,707745600.0,,,288.71973,293.4021,0.0
5813.79,707767200.0,,,289.00098,287.2771,0.0
5815.29,707788800.0,,,288.40723,286.2146,0.0
5815.29,707810400.0,,,286.67285,289.18335,0.0
5816.29,707832000.0,,,287.87598,285.12085,0.0
5817.79,707853600.0,,,287.87598,286.68335,0.0
5786.29,707875200.0,,,284.12598,296.49585,0.0
5784.79,707896800.0,,,282.67285,297.05835,0.0
5784.29,707918400.0,,,285.9541,296.7146,0.0
5784.29,707940000.0,,,284.84473,297.3396,0.0
5784.79,707961600.0,,,285.3291,297.87085,0.0
5784.29,707983200.0,,,286.40723,288.05835,0.0
5783.29,708004800.0,,,285.53223,286.30835,0.0
5780.29,708026400.0,,,286.93848,298.1521,0.0
5778.79,708048000.0,,,287.3916,287.74585,0.0
5780.29,708069600.0,,,287.59473,293.80835,0.015625
5776.29,708091200.0,,,287.2041,291.62085,0.0
5780.29,708112800.0,,,286.90723,289.2771,0.0
5781.79,708134400.0,,,286.78223,290.5896,0.0
5782.79,708156000.0,,,286.8916,292.4021,0.0078125
5785.79,708177600.0,,,287.6416,291.87085,0.0
5787.29,708199200.0,,,286.79785,289.4021,0.0
5788.29,708220800.0,,,287.0166,289.49585,0.0
5790.79,708242400.0,,,286.34473,287.93335,0.0
5793.29,708264000.0,,,285.56348,287.87085,0.0
5797.29,708285600.0,,,285.31348,287.55835,0.0
5795.79,708307200.0,,,284.12598,285.55835,0.0
5797.29,708328800.0,,,284.40723,296.0271,0.0
5797.79,708350400.0,,,284.4541,296.62085,0.0
5797.29,708372000.0,,,284.6416,296.43335,0.0
5798.29,708393600.0,,,286.5791,295.43335,0.0
5800.79,708415200.0,,,287.17285,292.8396,0.0
5801.79,708436800.0,,,287.65723,287.49585,0.0
5804.29,708458400.0,,,285.87598,286.6521,0.0
5804.29,708480000.0,,,286.50098,284.93335,0.0
5804.29,708501600.0,,,286.4541,288.30835,0.0
5806.29,708523200.0,,,286.96973,283.05835,0.0
5804.79,708544800.0,,,287.59473,287.4021,0.0
5773.79,708566400.0,,,282.59473,296.68335,0.0
5772.79,708588000.0,,,282.7666,296.9646,0.0
5772.79,708609600.0,,,284.43848,296.9021,0.0
5773.79,708631200.0,,,283.9541,297.24585,0.0
5772.79,708652800.0,,,284.25098,286.5271,0.0
5773.29,708674400.0,,,284.50098,283.0896,0.0
5771.29,708696000.0,,,285.53223,289.4021,0.0
5771.29,708717600.0,,,286.03223,290.93335,0.0
5765.79,708739200.0,,,286.9541,287.9646,0.0
5765.79,708760800.0,,,287.46973,291.1521,0.0
5766.79,708782400.0,,,287.50098,290.7146,0.0
5768.29,708804000.0,,,287.0791,289.0896,0.0
5769.79,708825600.0,,,286.61035,287.30835,0.0
5769.29,708847200.0,,,286.73535,288.68335,0.0
5771.79,708868800.0,,,286.34473,290.6521,0.0
5770.79,708890400.0,,,285.9541,286.9021,0.0
5775.29,708912000.0,,,285.4541,289.8396,0.0
